Subject,Predicate,Object
http://localhost/publications/articles/Journal1/1940/Article18,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article18,http://purl.org/dc/elements/1.1/title,surmisers undamped sharpers
http://localhost/publications/articles/Journal1/1940/Article18,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.splinting.tld/satisfying/undamped.html
http://localhost/publications/articles/Journal1/1940/Article18,http://swrc.ontoware.org/ontology#pages,142
http://localhost/publications/articles/Journal1/1940/Article18,http://xmlns.com/foaf/0.1/homepage,http://www.satisfying.tld/sharpers/forbearer.html
http://localhost/publications/articles/Journal1/1940/Article18,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article18,http://purl.org/dc/elements/1.1/creator,_:b19
_:b105,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
_:b105,http://xmlns.com/foaf/0.1/name,Notburg Towber
http://localhost/publications/articles/Journal1/1945/Article36,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1945/Article36,http://purl.org/dc/elements/1.1/title,allergist placarders septuagenarians
http://localhost/publications/articles/Journal1/1945/Article36,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.queening.tld/doyenne/placarders.html
http://localhost/publications/articles/Journal1/1945/Article36,http://xmlns.com/foaf/0.1/homepage,http://www.doyenne.tld/septuagenarians/safecracker.html
http://localhost/publications/articles/Journal1/1945/Article36,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1945
http://localhost/publications/articles/Journal1/1945/Article36,http://purl.org/dc/elements/1.1/creator,_:b156
http://localhost/publications/articles/Journal1/1947/Article16,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1947/Article16,http://purl.org/dc/elements/1.1/title,mistreat nonsuccess opticians
http://localhost/publications/articles/Journal1/1947/Article16,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.clonked.tld/administerings/nonsuccess.html
http://localhost/publications/articles/Journal1/1947/Article16,http://swrc.ontoware.org/ontology#pages,108
http://localhost/publications/articles/Journal1/1947/Article16,http://xmlns.com/foaf/0.1/homepage,http://www.administerings.tld/opticians/lushes.html
http://localhost/publications/articles/Journal1/1947/Article16,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1947
http://localhost/publications/articles/Journal1/1947/Article16,http://purl.org/dc/elements/1.1/creator,_:b195
_:b213,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
_:b213,http://xmlns.com/foaf/0.1/name,Addison Bovio
http://localhost/publications/articles/Journal1/1948/Article8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1948/Article8,http://purl.org/dc/elements/1.1/title,misdoubt coldest remounted
http://localhost/publications/articles/Journal1/1948/Article8,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.onside.tld/frostbites/coldest.html
